,EFINVA,EFSIZE,EFMJIE
1261,0,4,1
1262,0,4,2
1263,0,4,2
1264,0,4,2
1265,0,2,2
1266,0,2,1
1267,50,1,1
1268,1200,3,1
1269,1200,3,2
1271,0,1,1
1272,0,3,2
1273,0,3,1
1275,0,2,2
1276,0,2,1
1277,50,3,1
1278,50,3,2
1280,3400,1,1
1281,0,3,2
1282,0,3,1
1283,0,3,2
1284,0,1,1
1285,0,1,1
1286,0,1,1
1287,4700,3,2
1288,4700,3,1
1290,0,2,2
1291,0,2,1
1292,0,2,2
1293,0,2,1
1294,0,2,1
1295,0,2,2
1296,0,4,1
1297,0,4,2
1300,0,1,1
1301,0,4,1
1302,0,4,2
1305,775,1,1
1306,0,2,2
1307,0,2,1
1308,1650,2,1
1309,1650,2,2
1310,0,3,1
1311,0,3,2
1312,0,3,2
1313,0,1,1
1314,24150,3,1
1315,24150,3,2
1316,24150,3,2
1317,250,2,2
1318,250,2,1
1319,0,4,1
1320,0,4,2
1323,237500,2,2
1324,237500,2,1
1325,1200,4,2
1326,1200,4,1
1329,8700,7,2
1330,8700,7,2
1331,8700,7,1
1336,100000,2,2
1337,100000,2,1
1338,675,2,1
1339,675,2,2
1340,0,2,1
1342,0,6,2
1343,0,6,2
1344,0,6,1
1345,0,6,2
1346,0,6,2
1347,0,6,2
1348,0,3,1
1349,0,3,2
1350,0,3,2
1351,75,1,1
1352,-3200,2,1
1353,-3200,2,2
1354,550,2,2
1355,550,2,1
1356,9000,1,1
1357,825,3,1
1358,825,3,2
1359,825,3,2
1360,0,4,1
1361,0,4,2
1364,0,1,1
1365,7325,4,1
1366,7325,4,2
1367,7325,4,2
1369,2300,2,2
1370,2300,2,1
1371,0,1,1
1372,0,1,1
1373,0,1,1
1374,175,2,1
1375,175,2,2
1376,3500,1,1
1377,0,2,1
1378,0,2,2
1379,0,2,1
1381,2200,1,1
1382,8500,2,2
1383,8500,2,1
1384,0,1,1
1385,425,4,2
1386,425,4,1
1387,425,4,2
1388,425,4,2
1389,0,2,1
1390,0,2,2
1391,0,2,2
1392,0,2,1
1393,900,1,1
1394,25,2,2
1395,25,2,1
1396,100,1,1
1397,0,2,1
1398,0,2,2
1399,75475,2,1
1400,75475,2,2
1401,750,3,2
1402,750,3,1
1403,750,3,2
1404,0,1,1
1405,475,2,1
1406,475,2,2
1407,25,2,2
1408,25,2,1
1409,9250,2,2
1410,9250,2,1
1411,0,4,2
1414,0,4,1
1415,0,1,1
1416,0,1,1
1417,0,2,2
1418,0,2,1
1419,0,2,2
1420,0,2,1
1421,0,2,1
1422,0,2,2
1423,3200,1,1
1424,25,4,2
1425,25,4,1
1428,0,1,1
1429,0,2,1
1430,0,2,2
1431,0,2,1
1432,0,2,2
1433,125,2,1
1434,125,2,2
1435,1225,2,2
1436,1225,2,1
1437,200,2,2
1438,200,2,1
1439,7500,2,2
1440,7500,2,1
1441,1550,3,2
1443,1550,3,1
1444,0,2,1
1445,0,2,2
1446,13500,2,1
1447,13500,2,2
1448,0,1,1
1449,3975,3,2
1450,3975,3,1
1451,3975,3,2
1452,0,2,2
1453,0,2,1
1454,2375,2,2
1455,2375,2,1
1456,0,4,1
1457,0,4,2
1460,0,3,1
1461,0,3,2
1463,0,2,1
1464,0,2,2
1465,0,1,1
1466,15250,2,1
1467,15250,2,2
1468,0,1,1
1469,5000,2,1
1470,5000,2,2
1471,100,2,1
1472,100,2,2
1473,0,1,1
1474,10050,2,1
1475,10050,2,2
1476,0,5,1
1481,140000,2,1
1482,140000,2,2
1483,350,3,2
1484,350,3,1
1485,350,3,2
1486,47000,4,2
1487,47000,4,1
1490,0,1,1
1491,0,1,1
1492,0,2,1
1493,0,2,2
1494,350,2,1
1495,350,2,2
1496,0,1,1
1497,0,2,1
1498,0,2,2
1499,25,1,1
1500,25,4,1
1501,25,4,2
1502,25,4,2
1503,25,4,2
1504,150,2,1
1505,150,2,2
1506,0,1,1
1507,0,5,2
1508,0,5,1
1512,13750,2,1
1513,13750,2,2
1514,0,2,1
1515,0,2,2
1516,0,1,1
1517,2425,2,1
1518,2425,2,2
1519,0,1,1
1520,1575,2,1
1521,1575,2,2
1522,0,3,2
1523,0,3,1
1525,0,4,2
1526,0,4,1
1527,0,4,2
1528,0,4,2
1529,0,2,2
1530,0,2,1
1531,0,1,1
1532,1350,2,1
1533,1350,2,2
1534,3400,4,1
1535,3400,4,2
1538,0,1,1
1539,0,1,1
1540,0,1,1
1541,0,5,2
1542,0,5,1
1543,0,5,2
1546,0,1,1
1547,0,1,1
1548,0,1,1
1549,0,3,2
1550,0,3,1
1551,0,3,2
1552,0,1,1
1553,175,4,2
1554,175,4,1
1557,12000,4,2
1558,12000,4,1
1559,12000,4,2
1560,12000,4,2
1561,0,4,2
1562,0,4,1
1565,500,2,1
1566,500,2,2
1567,50,2,1
1568,50,2,2
1569,0,1,1
1570,0,1,1
1571,100,5,1
1572,100,5,2
1573,100,5,2
1575,100,5,2
1576,175,1,1
1577,275,2,1
1578,275,2,2
1579,1875,4,2
1580,1875,4,2
1581,1875,4,2
1582,1875,4,1
1583,50,4,2
1584,50,4,1
1587,0,2,1
1589,200,3,1
1592,300,2,1
1593,300,2,2
1594,25,2,2
1595,25,2,1
1596,925,1,1
1597,2100,2,2
1598,2100,2,1
1599,25,4,1
1600,25,4,2
1601,25,4,2
1602,25,4,2
1603,0,4,1
1604,0,4,2
1607,0,2,2
1608,0,2,1
1609,0,2,1
1610,0,2,2
1611,55000,1,1
1612,550,3,1
1613,550,3,2
1615,0,2,1
1616,0,2,2
1617,7800,2,1
1618,7800,2,2
1619,675,1,1
1620,25,2,2
1621,25,2,1
1622,250,2,1
1623,250,2,2
1624,1200,1,1
1625,0,1,1
1626,3300,1,1
1627,50,3,1
1628,50,3,2
1630,0,4,1
1631,0,4,2
1632,0,4,2
1634,0,3,2
1635,0,3,1
1637,0,1,1
1638,0,1,1
1639,10750,2,1
1640,10750,2,2
1641,3200,2,2
1642,3200,2,1
1643,0,4,1
1644,0,4,2
1645,0,4,2
1647,0,2,1
1648,0,2,2
1649,0,3,1
1650,0,3,2
1652,23750,7,2
1653,23750,7,2
1654,23750,7,2
1655,23750,7,1
1659,0,2,2
1660,0,2,1
1661,32000,4,2
1662,32000,4,1
1663,32000,4,2
1665,0,1,1
1666,140000,4,2
1667,140000,4,1
1670,0,1,1
1671,0,4,2
1672,0,4,1
1675,0,3,1
1678,3100,1,1
1679,0,3,2
1680,0,3,1
1681,0,3,2
1682,0,1,1
1683,775,1,1
1684,25,3,1
1686,25,3,2
1687,0,4,1
1688,0,4,2
1691,4300,2,1
1692,4300,2,2
1693,0,1,1
1694,50,2,2
1695,50,2,1
1696,25,4,2
1697,25,4,1
1698,25,4,2
1700,0,1,1
1701,0,2,2
1702,0,2,1
1703,36800,2,1
1704,36800,2,2
1705,0,2,1
1706,0,2,2
1707,21000,2,2
1708,21000,2,1
1709,0,1,1
1710,0,1,1
1711,150000,2,2
1712,150000,2,1
1713,0,1,1
1714,0,3,2
1715,0,3,1
1717,0,1,1
1718,1750,1,1
1719,0,2,1
1721,0,2,1
1722,0,2,2
1723,4800,5,2
1724,4800,5,1
1725,4800,5,2
1728,1300,1,1
1729,3500,2,1
1730,3500,2,2
1731,0,3,2
1732,0,3,1
1734,0,3,1
1735,0,3,2
1737,0,1,1
1738,0,4,2
1739,0,4,1
1742,125,1,1
1743,0,3,1
1744,0,3,2
1746,0,2,1
1747,0,2,2
1748,25000,1,1
1749,0,2,2
1750,0,2,1
1751,0,2,1
1752,0,2,2
1753,0,2,1
1754,0,2,2
1755,0,1,1
1756,325,3,2
1757,325,3,1
1758,325,3,2
1759,1800,1,1
1760,525,2,2
1761,525,2,1
1762,0,3,1
1765,0,5,1
1766,0,5,2
1767,0,5,2
1770,1600,1,1
1771,0,3,1
1772,0,3,2
1773,0,3,2
1774,0,2,2
1775,0,2,1
1776,300,1,1
1777,25,4,1
1778,25,4,2
1781,52525,2,2
1782,52525,2,1
1783,130000,1,1
1784,54000,3,1
1785,54000,3,2
1787,0,4,2
1788,0,4,1
1791,150,2,1
1792,150,2,2
1793,3150,2,1
1794,3150,2,2
1795,800,2,2
1796,800,2,1
1797,0,1,1
1798,0,1,1
1799,0,2,1
1801,0,3,2
1802,0,3,2
1803,0,3,1
1804,100,2,1
1805,100,2,2
1806,0,1,1
1807,0,3,1
1808,0,3,2
1810,275,4,1
1811,275,4,2
1814,350,1,1
1815,0,1,1
1816,0,2,1
1817,0,2,2
1818,0,3,2
1819,0,3,1
1821,0,2,1
1822,0,2,2
1823,0,4,1
1824,0,4,2
1825,0,4,2
1826,0,4,2
1827,0,1,1
1828,50,2,2
1829,50,2,1
1830,50,2,1
1831,50,2,2
1832,300,2,2
1833,300,2,1
1834,175,2,1
1835,175,2,2
1836,1650,1,1
