,EFINVA
6353,71000
65085,20250
5011,50
45968,475
8168,0
58998,-2000
8359,0
13846,500
31520,-1450
35025,0
6587,1275
20275,0
8570,0
9827,0
35486,0
86827,0
53069,100
46239,0
92037,93000
63936,0
36956,102500
19339,0
28692,25
10844,0
27625,0
73601,0
21797,0
5811,0
56780,0
87895,0
8033,0
34468,0
26560,14500
81341,25
40155,0
86753,0
7449,0
3562,3375
1268,1200
53584,0
89427,375
41419,-2000
15774,500
62450,0
84440,4400
45492,0
49147,0
65740,100
18613,0
42138,0
74066,0
21254,0
26242,430000
35010,2600
45616,0
23750,0
12523,0
53007,0
10502,0
69916,76250
41022,3700
25905,0
62723,0
22516,0
86024,0
26747,0
28043,1350
81047,0
3113,0
89325,0
21959,0
72496,4200
77773,467500
73536,50
35556,775
31969,0
25379,0
2562,6025
30351,0
91723,475
46900,0
26783,0
54204,0
25653,0
11818,-4100
900,3700
11712,0
71797,75
40649,0
12675,0
42988,125
87997,17500
66156,675
18221,0
21231,0
6901,0
52638,200
57818,0
66866,750
32197,0
53458,0
42805,3500
6655,625
1704,36800
5643,0
67415,0
23821,15000
15013,0
65137,150
86570,0
74985,94025
74085,0
61730,0
3162,0
68021,0
36588,0
35280,0
2267,25
53703,4800
40011,0
26449,0
53428,0
50554,0
77394,0
58601,550
90382,0
6637,0
30657,0
31112,725
2404,28000
73189,375
88285,325
87065,1250
58960,0
48723,0
83010,0
37451,50
32801,0
43698,0
35751,20000
33350,25
18807,0
15816,0
54962,675
88722,25
75229,0
75847,0
19828,2350
7170,0
28083,375
63377,3700
19967,0
7356,475
54092,325
16678,0
49819,0
72946,1200
29521,0
53478,25
80081,21750
43043,0
11498,0
74882,25
21650,6250
61369,450
2299,50275
60893,0
62213,0
50999,0
54419,0
50934,0
14204,0
11070,0
90254,0
30923,0
12148,4000
31097,0
242,0
56708,0
64971,19500
16755,0
79341,25
14711,33000
48709,0
70771,150
56886,0
3942,0
64272,0
24043,0
23337,275
13320,0
18202,0
3191,0
27470,0
5023,4500
44455,29750
84822,0
14907,0
48313,725
13924,0
74950,50
76807,1650
31893,0
66363,6050
91630,65000
89265,0
58519,0
91383,0
46389,0
86557,875
34094,0
35383,0
42422,130000
30114,1275
23267,0
91913,4000
59324,0
21124,28000
77878,0
4156,0
43745,0
77503,0
70012,0
5751,4075
5223,0
32775,50
76025,0
509,0
6652,0
24164,4600
82267,0
13886,1400
92268,950
25611,17000
19176,2825
8701,0
89714,0
8465,0
7249,0
68501,50050
52768,25
14373,0
63748,2300
51427,0
23277,375
14550,0
91988,0
66995,50
38428,0
61141,31000
26569,7000
73617,750
1246,0
20132,75000
48331,1250
9342,1650
38232,0
66772,0
32156,50
29103,1100
27647,0
10889,0
31956,1050
7864,0
78273,0
51155,25
28990,725
20744,0
6329,0
61082,2050
19005,0
35262,1600
70921,0
47062,0
65594,50
22833,25000
8873,0
11400,0
38880,0
39822,625
32203,0
81329,0
6675,0
8767,98500
19026,0
50123,300
28445,100
20804,0
33731,0
44064,0
38177,0
89934,0
18378,175
6034,175
33907,0
6940,125
44856,325
4750,0
57524,300
17130,0
71840,7200
33080,1425
41046,0
32765,0
80059,0
85945,4700
18308,0
31130,450
37407,0
40516,50
23660,0
60546,0
85028,0
73000,125
45800,0
4890,2900
54362,0
75598,0
83476,1425
9365,0
58090,0
72117,0
91910,0
64473,0
80409,125
4778,14250
81103,450
71631,350
25364,0
66971,0
70269,0
23830,0
21309,3550
80726,25
